,Unnamed: 0,index,n. in session,datetime,website title,kind,location (coordinates),query,presence at 5 km,presence at 10 km,presence at 20 km,location (name)
0,0.0,,0,2019-03-23 03:32:08.385759,Pompe Funebri | Del Buono | pompefunebridelbuono.com‎,ADS A,44.307208_8.482031,pompe funebri,0.0,False,False,to be implemented
1,1.0,,1,2019-03-23 03:32:08.385759,Pompe Funebri | Onoranze Funebri Ferro | pompefunebriferrovarazze.it‎,ADS A,44.307208_8.482031,pompe funebri,0.0,False,False,to be implemented
2,2.0,,2,2019-03-23 03:32:08.385759,Onoranze Funebri | Pompe Funebri Liguri | PompeFunebriLiguri.com‎,ADS A,44.307208_8.482031,pompe funebri,0.0,False,False,to be implemented
3,3.0,,3,2019-03-23 03:32:08.385759,Pompe Funebri | La Savonese | OnoranzefunebriLaSavonese.com‎,ADS A,44.307208_8.482031,pompe funebri,1.0,True,True,to be implemented
4,4.0,,0,2019-03-23 03:32:08.385759,Pompe Funebri | Tortarolo &amp; Conti‎,ADS B,44.307208_8.482031,pompe funebri,0.0,No ADS,No ADS,to be implemented
5,5.0,,1,2019-03-23 03:32:08.385759,Pompe Funebri | Onoranze Funebri Serra Vado L.‎,ADS B,44.307208_8.482031,pompe funebri,1.0,No ADS,No ADS,to be implemented
6,6.0,,0,2019-03-23 03:33:28.259629,Pompe Funebri | Onoranze Funebri Ferro | pompefunebriferrovarazze.it‎,ADS A,44.307208_8.482031,pompe funebri,0.0,False,False,to be implemented
7,7.0,,1,2019-03-23 03:33:28.259629,Pompe Funebri | Del Buono | pompefunebridelbuono.com‎,ADS A,44.307208_8.482031,pompe funebri,0.0,False,False,to be implemented
8,8.0,,2,2019-03-23 03:33:28.259629,Onoranze Funebri | Pompe Funebri Liguri | PompeFunebriLiguri.com‎,ADS A,44.307208_8.482031,pompe funebri,0.0,False,False,to be implemented
9,9.0,,3,2019-03-23 03:33:28.259629,Pompe Funebri | Tortarolo &amp; Conti | pompefunebritortaroloeconti.com‎,ADS A,44.307208_8.482031,pompe funebri,1.0,True,True,to be implemented
10,10.0,,0,2019-03-23 03:34:23.653902,Pompe Funebri | Onoranze Funebri Ferro | pompefunebriferrovarazze.it‎,ADS A,44.307208_8.482031,pompe funebri,0.0,False,False,to be implemented
11,11.0,,1,2019-03-23 03:34:23.653902,Pompe Funebri | Del Buono | pompefunebridelbuono.com‎,ADS A,44.307208_8.482031,pompe funebri,0.0,False,False,to be implemented
12,12.0,,2,2019-03-23 03:34:23.653902,Pompe Funebri | Tortarolo &amp; Conti | pompefunebritortaroloeconti.com‎,ADS A,44.307208_8.482031,pompe funebri,1.0,True,True,to be implemented
13,13.0,,0,2019-03-23 03:34:23.653902,Onoranze Funebri | Pompe Funebri Liguri‎,ADS B,44.307208_8.482031,pompe funebri,0.0,No ADS,No ADS,to be implemented
14,14.0,,1,2019-03-23 03:34:23.653902,Pompe Funebri | Onoranze Funebri Serra Vado L.‎,ADS B,44.307208_8.482031,pompe funebri,1.0,No ADS,No ADS,to be implemented
15,15.0,,0,2019-03-23 03:35:41.794044,Pompe Funebri | Onoranze Funebri Ferro | pompefunebriferrovarazze.it‎,ADS A,44.307208_8.482031,pompe funebri,0.0,False,False,to be implemented
16,16.0,,1,2019-03-23 03:35:41.794044,Pompe Funebri | Del Buono | pompefunebridelbuono.com‎,ADS A,44.307208_8.482031,pompe funebri,1.0,True,True,to be implemented
17,17.0,,0,2019-03-23 03:35:41.794044,Pompe Funebri | Tortarolo &amp; Conti‎,ADS B,44.307208_8.482031,pompe funebri,1.0,No ADS,True,to be implemented
18,18.0,,0,2019-03-23 03:36:59.627297,Pompe Funebri | Del Buono | pompefunebridelbuono.com‎,ADS A,44.307208_8.482031,pompe funebri,0.0,False,False,to be implemented
19,19.0,,1,2019-03-23 03:36:59.627297,Pompe Funebri | Onoranze Funebri Ferro | pompefunebriferrovarazze.it‎,ADS A,44.307208_8.482031,pompe funebri,0.0,False,False,to be implemented
20,20.0,,2,2019-03-23 03:36:59.627297,Pompe Funebri | La Savonese | OnoranzefunebriLaSavonese.com‎,ADS A,44.307208_8.482031,pompe funebri,1.0,True,True,to be implemented
21,21.0,,0,2019-03-23 03:36:59.627297,Onoranze Funebri | Pompe Funebri Liguri‎,ADS B,44.307208_8.482031,pompe funebri,0.0,No ADS,No ADS,to be implemented
22,22.0,,1,2019-03-23 03:36:59.627297,Pompe Funebri | Tortarolo &amp; Conti‎,ADS B,44.307208_8.482031,pompe funebri,1.0,No ADS,No ADS,to be implemented
23,23.0,,0,2019-03-23 03:38:16.873903,Pompe Funebri | Del Buono | pompefunebridelbuono.com‎,ADS A,44.307208_8.482031,pompe funebri,0.0,False,False,to be implemented
24,24.0,,1,2019-03-23 03:38:16.873903,Pompe Funebri | Onoranze Funebri Ferro | pompefunebriferrovarazze.it‎,ADS A,44.307208_8.482031,pompe funebri,1.0,True,True,to be implemented
25,25.0,,0,2019-03-23 03:38:16.873903,Pompe Funebri | Tortarolo &amp; Conti‎,ADS B,44.307208_8.482031,pompe funebri,1.0,No ADS,No ADS,to be implemented
26,26.0,,0,2019-03-23 03:39:35.036561,Pompe Funebri | Del Buono | pompefunebridelbuono.com‎,ADS A,44.307208_8.482031,pompe funebri,0.0,False,False,to be implemented
27,27.0,,1,2019-03-23 03:39:35.036561,Pompe Funebri | Onoranze Funebri Ferro | pompefunebriferrovarazze.it‎,ADS A,44.307208_8.482031,pompe funebri,1.0,True,True,to be implemented
28,28.0,,0,2019-03-23 03:39:35.036561,Pompe Funebri | Tortarolo &amp; Conti‎,ADS B,44.307208_8.482031,pompe funebri,1.0,No ADS,No ADS,to be implemented
29,29.0,,0,2019-03-23 03:40:52.410515,Pompe Funebri | Del Buono | pompefunebridelbuono.com‎,ADS A,44.307208_8.482031,pompe funebri,0.0,False,False,to be implemented
30,30.0,,1,2019-03-23 03:40:52.410515,Pompe Funebri | Onoranze Funebri Ferro | pompefunebriferrovarazze.it‎,ADS A,44.307208_8.482031,pompe funebri,1.0,True,True,to be implemented
31,,,0,2019-04-26 02:26:03.014538,Pompe Funebri | Organizzazione di Funerali | pompefunebriofac.it‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
32,,,1,2019-04-26 02:26:03.014538,Pompe Funebri | Onoranze Funebri Ferro | pompefunebriferrovarazze.it‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
33,,,2,2019-04-26 02:26:03.014538,Onoranze Funebri | Pompe Funebri Liguri | PompeFunebriLiguri.com‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
34,,,3,2019-04-26 02:26:03.014538,Pompe Funebri | Onoranze Funebri Serra Vado L.‎,ADS A,44.307208_8.482031,Pompe funebri,True,True,True,to be implemented
35,,,0,2019-04-26 02:27:19.887068,Pompe Funebri | Servizi Funebri Completi | pompefunebriofac.it‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
36,,,1,2019-04-26 02:27:19.887068,Pompe Funebri | Onoranze Funebri Ferro | pompefunebriferrovarazze.it‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
37,,,2,2019-04-26 02:27:19.887068,Onoranze Funebri | Pompe Funebri Liguri | Al Vostro Servizio dal 1998‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
38,,,3,2019-04-26 02:27:19.887068,Pompe Funebri | Esperienza e Discrezione | pompefunebriserra.com‎,ADS A,44.307208_8.482031,Pompe funebri,True,True,True,to be implemented
39,,,0,2019-04-26 02:28:36.314595,Pompe Funebri | Ofac a Spotorno | pompefunebriofac.it‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
40,,,1,2019-04-26 02:28:36.314595,Pompe Funebri | Onoranze Funebri Ferro | pompefunebriferrovarazze.it‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
41,,,2,2019-04-26 02:28:36.314595,Onoranze Funebri | Pompe Funebri Liguri | PompeFunebriLiguri.com‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
42,,,3,2019-04-26 02:28:36.314595,Pompe Funebri | Esperienza e Discrezione | pompefunebriserra.com‎,ADS A,44.307208_8.482031,Pompe funebri,True,True,True,to be implemented
43,,,0,2019-04-26 02:29:52.510977,Pompe Funebri | Organizzazione di Funerali | pompefunebriofac.it‎,ADS A,44.307208_8.482031,Pompe funebri,False,,,to be implemented
44,,,1,2019-04-26 02:29:52.510977,Pompe Funebri | Onoranze Funebri Ferro | pompefunebriferrovarazze.it‎,ADS A,44.307208_8.482031,Pompe funebri,False,,,to be implemented
45,,,2,2019-04-26 02:29:52.510977,Funerali Completi | Pompe Funebri Liguri | PompeFunebriLiguri.com‎,ADS A,44.307208_8.482031,Pompe funebri,True,,,to be implemented
